Arena,Team(s),Capacity,Opened
Honda Center,Anaheim Ducks,17174,1993
Gila River Arena,Arizona Coyotes,17125,2003
TD Garden,Boston Bruins,17565,1995
KeyBank Center,Buffalo Sabres,19070,1996
Scotiabank Saddledome,Calgary Flames,19289,1983
PNC Arena,Carolina Hurricanes,18680,1999
United Center,Chicago Blackhawks,19717,1994
Pepsi Center,Colorado Avalanche,17809,1999
Nationwide Arena,Columbus Blue Jackets,18144,2000
American Airlines Center,Dallas Stars,18532,2001
Little Caesars Arena,Detroit Red Wings,19515,2017
Rogers Place,Edmonton Oilers,18347,2016
BB&T Center,Florida Panthers,19250,1998
Staples Center,Los Angeles Kings,18230,1999
Xcel Energy Center,Minnesota Wild,17954,2000
Bell Centre,Montreal Canadiens,21302,1996
Bridgestone Arena,Nashville Predators,17113,1996
Prudential Center,New Jersey Devils,16514,2007
Barclays Center,New York Islanders,15795,2012
Madison Square Garden,New York Rangers,18006,1968
Canadian Tire Centre,Ottawa Senators,17373,1996
Wells Fargo Center,Philadelphia Flyers,19543,1996
PPG Paints Arena,Pittsburgh Penguins,18387,2010
SAP Center,San Jose Sharks,17562,1993
Enterprise Center,St. Louis Blues,18724,1994
Amalie Arena,Tampa Bay Lightning,19092,1996
Scotiabank Arena,Toronto Maple Leafs,18819,1999
Rogers Arena,Vancouver Canucks,18910,1995
T-Mobile Arena,Vegas Golden Knights,17368,2016
Capital One Arena,Washington Capitals,18506,1997
Bell MTS Place,Winnipeg Jets,15321,2004
