Award,Winner,Description
Art Ross Trophy,Nikita Kucherov,Top Point Scorer
Bill Masterton Memorial Trophy,Robin Lehner,Qualities of Perseverance and Sportsmanship
Calder Memorial Trophy,Elias Pettersson,Rookie of the Year
Conn Smythe Trophy,Ryan O'Reilly,Most Valuable Player in the Stanley Cup Playoffs
Frank J. Selke Trophy,Ryan O'Reilly,Top Defensive Forward
Hart Memorial Trophy,Nikita Kucherov,Most Valuable Player
James Norris Memorial Trophy,Mark Giordano,Top Defenseman
King Clancy Memorial Trophy,Jason Zucker,Leadership and Humanitarian Contribution
Lady Byng Memorial Trophy,Aleksander Barkov,"Player who ""exhibited the best type of sportsmanship and gentlemanly conduct combined with a high standard of playing ability"""
Mark Messier Leadership Award,Wayne Simmonds,Exhibiting Best Leadership
Maurice Richard Trophy,Alex Ovechkin,Top Goal Scorer
Ted Lindsay Award,Nikita Kucherov,Most Outstanding Player as Selected by the NHLPA
Vezina Trophy,Andrei Vasilevskiy,Top Goalie
,,
,,
