General Manager,Tenured since
Bob Murray,2008-11-12
John Chayka,2016-05-05
Don Sweeney,2015-05-20
Jason Botterill,2017-05-11
Brad Treliving,2014-04-28
Don Waddell,2018-05-08
Stan Bowman,2009-07-14
Joe Sakic,2014-09-19
Jarmo Kekalainen,2013-02-13
Jim Nill,2013-04-29
Steve Yzerman,2019-04-19
Ken Holland,2019-05-07
Dale Tallon,2017-04-10
Rob Blake,2017-04-10
Paul Fenton,2018-05-21
Marc Bergevin,2012-05-02
David Poile,1997-07-09
Ray Shero,2015-05-04
Lou Lamoriello,2018-06-05
Jeff Gorton,2015-07-01
Pierre Dorion,2016-04-10
Chuck Fletcher,2018-12-03
Jim Rutherford,2014-06-06
Doug Wilson,2003-05-13
Doug Armstrong,2010-07-01
Julien BriseBois,2018-09-11
Kyle Dubas,2018-05-11
Jim Benning,2014-05-21
George McPhee,2016-07-13
Brian MacLellan,2014-05-26
Kevin Cheveldayoff,2011-06-08
